title,romanized,productId,platform,gameFilename,thumbnailFilename,manualFilename,musicFilename,Store Page
GENOCIDE2,Genocide 2,308,X68000,ZOM0006a.bin,ZOM0006.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=308
GEO CONFLICT 〜争乱の大地〜,Geo Conflict - Souran no Daichi,988,PC-9801,COM0059a.bin,COM0059.bmp,COM0059m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=988
GEO CONFLICT 〜争乱の大地〜,Geo Conflict - Souran no Daichi,1345,PC-9801,COM0059a.bin,COM0059.bmp,COM0059m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1345
GEO CONFLICT 3-Hell's Gate Crusaders-,Geo Conflict 3 - Hell's Gate Crusaders,1269,Windows,COM5036a.bin,,COM5036m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1269
GEO CONFLICT 4 - The End of Reincarnation - ,Geo Conflict 4 - The End of Reincarnation,1251,Windows,COM5037a.bin,,COM5037m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1251
GEO CONFLICT ADVENTURE−孤影の精霊−,Geo Conflict Adventure - Koei no Seirei,1257,Windows,COM5024a.bin,,COM5024m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1257
GOLVELLIUS,Golvellius,852,MSX,COM3014a.bin,COM3014.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=852
Golvellius 2 ,Golvellius 2,881,MSX2,COM3017a.bin,COM3017.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=881
Guardic,Guardic,771,MSX,COM3007a.bin,COM3007.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=771
HAMLET,Hamlet,860,PC-9801,PHA0005a.bin,PHA0005.bmp,PHA0005m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=860
HARAKIRI,Harakiri,413,PC-8801,GAR0008a.bin,GAR0008.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=413
HEADQUARTERS アメリカの悪夢,Headquarters - America no Akumu,926,PC-9801,AGL0001a.bin,AGL0001.bmp,AGL0001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=926
HOTDOG,Hotdog,201,FM-7,BOT0006a.bin,BOT0006.bmp,BOT0006m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=201
HOTDOG,Hotdog,744,PC-8801,BOT3002a.bin,BOT3002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=744
Hotdog ,Hotdog,813,FM-7,BOT3011a.bin,BOT3011.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=813
HUSTLE Chumiy,Hustle Chumy,1074,SG-1000,COM3029a.bin,COM3029.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1074
